问题 ID,说明,状态,严重性,故事点,项目路径,位置种类,路径,折线图,列,事件 ID,帮助链接,程序集名称,程序集版本,程序集公钥,片段
NuGet.0003,框架引用中包含 NuGet 包功能,Active,Mandatory,1,LazyChat\LazyChat.csproj,File,LazyChat\LazyChat.csproj,,,System.Memory 4.6.3,,,,,"System.Memory, 4.6.3  建议:  新框架引用随附的包功能"
NuGet.0003,框架引用中包含 NuGet 包功能,Active,Mandatory,1,LazyChat\LazyChat.csproj,File,LazyChat\LazyChat.csproj,,,System.Threading.Tasks.Extensions 4.6.3,,,,,"System.Threading.Tasks.Extensions, 4.6.3  建议:  新框架引用随附的包功能"
Project.0001,项目文件需要转换为 SDK 样式。,Active,Mandatory,1,LazyChat\LazyChat.csproj,File,LazyChat\LazyChat.csproj,,,,,,,,
Project.0002,需要更改项目的目标框架,Active,Mandatory,1,LazyChat\LazyChat.csproj,File,LazyChat\LazyChat.csproj,,,,,,,,"当前目标框架: .NETFramework,Version=v4.8 建议的目标框架: net10.0-windows"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LazyChat\LazyChat.csproj,File,LazyChat\Controls\MessageBubbleControl.cs,139,20,T:System.Windows.Forms.Panel,,,,,"_bubblePanel.BackColor = Color.FromArgb(250, 250, 250);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LazyChat\LazyChat.csproj,File,LazyChat\Controls\MessageBubbleControl.cs,139,20,P:System.Windows.Forms.Control.BackColor,,,,,"_bubblePanel.BackColor = Color.FromArgb(250, 250, 250);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LazyChat\LazyChat.csproj,File,LazyChat\Controls\MessageBubbleControl.cs,138,20,T:System.Windows.Forms.Label,,,,,_lblMessage.Visible = true;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LazyChat\LazyChat.csproj,File,LazyChat\Controls\MessageBubbleControl.cs,138,20,P:System.Windows.Forms.Control.Visible,,,,,_lblMessage.Visible = true;
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,LazyChat\LazyChat.csproj,File,LazyChat\Controls\MessageBubbleControl.cs,137,20,T:System.Drawing.FontStyle,,,,,"_lblMessage.Font = new Font(""Microsoft Sans Serif"", 8F, FontStyle.Italic);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,LazyChat\LazyChat.csproj,File,LazyChat\Controls\MessageBubbleControl.cs,137,20,T:System.Drawing.FontStyle,,,,,"_lblMessage.Font = new Font(""Microsoft Sans Serif"", 8F, FontStyle.Italic);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,LazyChat\LazyChat.csproj,File,LazyChat\Controls\MessageBubbleControl.cs,137,20,F:System.Drawing.FontStyle.Italic,,,,,"_lblMessage.Font = new Font(""Microsoft Sans Serif"", 8F, FontStyle.Italic);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,LazyChat\LazyChat.csproj,File,LazyChat\Controls\MessageBubbleControl.cs,137,20,T:System.Drawing.Font,,,,,"_lblMessage.Font = new Font(""Microsoft Sans Serif"", 8F, FontStyle.Italic);"
